gvkey,iid,datadate,prccd,cshtrd,daily_return
25434,1,2018-03-12,59.4,10548660.0,0.016079370509750168
25434,1,2018-03-13,59.05,10398030.0,-0.005892255892255949
25434,1,2018-03-14,58.83,6484199.0,-0.0037256562235393753
25434,1,2018-03-15,59.37,7362587.0,0.009178990311065727
25434,1,2018-03-16,59.0,12581120.0,-0.006232103756105722
25434,1,2018-03-19,58.3,8799524.0,-0.011864406779661052
25434,1,2018-03-20,58.66,5861507.0,0.006174957118353364
25434,1,2018-03-21,58.47,6568790.0,-0.0032390044323218348
25434,1,2018-03-22,57.77,6806785.0,-0.011971951428082717
25434,1,2018-03-23,56.31,9462861.0,-0.025272632854422716
25434,1,2018-03-26,57.8,8439057.0,0.026460664180429694
25434,1,2018-03-27,57.46,7473294.0,-0.00588235294117645
25434,1,2018-03-28,57.9,9238795.0,0.007657500870170475
25434,1,2018-03-29,57.89,11999600.0,-0.00017271157167531026
25434,1,2018-04-02,56.24,16733260.0,-0.028502332008982556
25434,1,2018-04-03,58.0,10894760.0,0.031294452347083945
25434,1,2018-04-04,58.83,7891234.0,0.014310344827586086
25434,1,2018-04-05,59.14,6279071.0,0.005269420363759991
25434,1,2018-04-06,58.34,8258422.0,-0.013527223537368904
25434,1,2018-04-09,58.7,8023309.0,0.006170723345903406
25434,1,2018-04-10,59.41,6546109.0,0.012095400340715434
25434,1,2018-04-11,59.42,5387146.0,0.00016832183134152245
25434,1,2018-04-12,59.43,6063514.0,0.00016829350387070896
25434,1,2018-04-13,59.24,6412343.0,-0.0031970385327275697
25434,1,2018-04-16,59.43,6117461.0,0.003207292370020154
25434,1,2018-04-17,59.83,6126851.0,0.006730607437321234
25434,1,2018-04-18,59.5,5907794.0,-0.0055156276115660985
25434,1,2018-04-19,59.22,6249694.0,-0.004705882352941226
25434,1,2018-04-20,58.0,11930050.0,-0.02060114826072268
25434,1,2018-04-23,58.16,8334186.0,0.0027586206896550447
25434,1,2018-04-24,57.81,7774972.0,-0.0060178817056395495
25434,1,2018-04-25,57.71,8290919.0,-0.0017298045320879307
25434,1,2018-04-26,59.38,14418550.0,0.028937792410327567
25434,1,2018-04-27,58.36,11967860.0,-0.0171775008420344
25434,1,2018-04-30,57.57,7836976.0,-0.013536668951336539
25434,1,2018-05-01,58.13,7257339.0,0.009727288518325494
25434,1,2018-05-02,56.7,7298622.0,-0.024600034405642512
25434,1,2018-05-03,56.13,7146599.0,-0.010052910052910091
25434,1,2018-05-04,57.68,9278074.0,0.02761446641724552
25434,1,2018-05-07,57.45,10658450.0,-0.003987517337031843
25434,1,2018-05-08,57.67,7113965.0,0.0038294168842472054
25434,1,2018-05-09,57.04,7005284.0,-0.010924224033292962
25434,1,2018-05-10,57.65,6564413.0,0.010694249649368937
25434,1,2018-05-11,57.27,5843391.0,-0.0065915004336513094
25434,1,2018-05-14,57.13,5871061.0,-0.002444560852104094
25434,1,2018-05-15,56.64,7409368.0,-0.008576929809207101
25434,1,2018-05-16,57.15,4822120.0,0.009004237288135597
25434,1,2018-05-17,57.2,6109593.0,0.0008748906386701893
25434,1,2018-05-18,57.16,7715141.0,-0.0006993006993007977
25434,1,2018-05-21,57.34,5270777.0,0.0031490552834150254
25434,1,2018-05-22,56.96,5355188.0,-0.00662713637949075
25434,1,2018-05-23,57.49,5331787.0,0.009304775280898792
25434,1,2018-05-24,57.68,5681311.0,0.003304922595233961
25434,1,2018-05-25,57.92,6740372.0,0.004160887656033285
25434,1,2018-05-29,57.23,6474424.0,-0.01191298342541447
25434,1,2018-05-30,57.48,5731360.0,0.004368338284116646
25434,1,2018-05-31,56.67,9430834.0,-0.014091858037578175
25434,1,2018-06-01,56.91,4967434.0,0.004235044997352944
25434,1,2018-06-04,57.07,7428360.0,0.0028114566859955836
25434,1,2018-06-05,55.68,18276950.0,-0.024356053968810243
25434,1,2018-06-06,57.17,13696180.0,0.02676005747126431
25434,1,2018-06-07,57.14,7919685.0,-0.0005247507433968623
25434,1,2018-06-08,56.6,8213846.0,-0.009450472523626186
25434,1,2018-06-11,56.48,7148007.0,-0.0021201413427562876
25434,1,2018-06-12,56.48,8190882.0,0.0
25434,1,2018-06-13,56.21,8092480.0,-0.004780453257790307
25434,1,2018-06-14,57.02,11036920.0,0.01441024728695961
25434,1,2018-06-15,57.11,12407790.0,0.0015783935461242127
25434,1,2018-06-18,57.22,9466980.0,0.0019261075118193194
25434,1,2018-06-19,57.43,9770572.0,0.0036700454386577874
25434,1,2018-06-20,52.22,62013600.0,-0.09071913633989204
25434,1,2018-06-21,50.62,30701650.0,-0.030639601685178097
25434,1,2018-06-22,51.24,24278310.0,0.012248123271434208
25434,1,2018-06-25,50.66,15575390.0,-0.011319281811085213
25434,1,2018-06-26,50.38,12901790.0,-0.0055270430319778185
25434,1,2018-06-27,49.84,14562940.0,-0.010718539102818614
25434,1,2018-06-28,48.54,33177680.0,-0.026083467094703106
25434,1,2018-06-29,48.85,17316790.0,0.006386485372888329
25434,1,2018-07-02,49.06,9865953.0,0.004298874104401218
25434,1,2018-07-03,48.77,7517541.0,-0.0059111292295148665
25434,1,2018-07-05,48.61,9579896.0,-0.0032807053516507034
25434,1,2018-07-06,48.98,10574120.0,0.0076116025509154195
25434,1,2018-07-09,49.9,12797580.0,0.018783176806860036
25434,1,2018-07-10,50.42,9028449.0,0.010420841683366877
25434,1,2018-07-11,50.14,9525525.0,-0.005553351844506116
25434,1,2018-07-12,50.25,9334851.0,0.0021938571998403322
25434,1,2018-07-13,51.62,21716810.0,0.027263681592039735
25434,1,2018-07-16,50.94,16947850.0,-0.013173188686555592
25434,1,2018-07-17,51.28,11417080.0,0.0066745190420103295
25434,1,2018-07-18,51.15,13532890.0,-0.002535101404056217
25434,1,2018-07-19,51.34,11342410.0,0.00371456500488776
25434,1,2018-07-20,50.91,11024060.0,-0.008375535644721599
25434,1,2018-07-23,51.19,8384776.0,0.0054999017874681755
25434,1,2018-07-24,51.17,9919452.0,-0.0003907013088493283
25434,1,2018-07-25,51.62,11348180.0,0.008794215360562685
25434,1,2018-07-26,51.45,10897310.0,-0.0032932971716388426
25434,1,2018-07-27,52.15,15768100.0,0.013605442176870763
25434,1,2018-07-30,51.9,14429820.0,-0.0047938638542665
25434,1,2018-07-31,52.39,9196505.0,0.009441233140655036
25434,1,2018-08-01,51.93,11951110.0,-0.008780301584271788
25434,1,2018-08-02,51.68,13632860.0,-0.004814172925091453
25434,1,2018-08-03,52.23,8227457.0,0.01064241486068096
25434,1,2018-08-06,52.07,6502582.0,-0.003063373540110992
25434,1,2018-08-07,52.07,5868671.0,0.0
25434,1,2018-08-08,51.55,7256078.0,-0.00998655655847902
25434,1,2018-08-09,51.92,6938535.0,0.007177497575169722
25434,1,2018-08-10,51.51,10537300.0,-0.007896764252696475
25434,1,2018-08-13,51.81,7911219.0,0.0058241118229471756
25434,1,2018-08-14,52.59,9384243.0,0.01505500868558185
25434,1,2018-08-15,52.75,9565731.0,0.003042403498763946
25434,1,2018-08-16,53.04,8691672.0,0.005497630331753545
25434,1,2018-08-17,53.56,8166586.0,0.009803921568627416
25434,1,2018-08-20,53.92,9783985.0,0.006721433905899854
25434,1,2018-08-21,54.0,7682990.0,0.0014836795252224366
25434,1,2018-08-22,52.82,10274100.0,-0.0218518518518519
25434,1,2018-08-23,52.66,8258940.0,-0.0030291556228702055
25434,1,2018-08-24,52.75,9711944.0,0.0017090770983669845
25434,1,2018-08-27,52.97,6433640.0,0.00417061611374403
25434,1,2018-08-28,53.05,7088216.0,0.001510288842741181
25434,1,2018-08-29,53.25,6582652.0,0.0037700282752122227
25434,1,2018-08-30,53.1,5534544.0,-0.0028169014084507005
25434,1,2018-08-31,53.45,10848780.0,0.006591337099811634
25434,1,2018-09-04,53.53,8133777.0,0.0014967259120672871
25434,1,2018-09-05,53.79,7961785.0,0.00485708948253305
25434,1,2018-09-06,54.21,7803346.0,0.007808142777467886
25434,1,2018-09-07,54.86,10156440.0,0.011990407673860837
25434,1,2018-09-10,54.97,8619864.0,0.002005103900838412
25434,1,2018-09-11,55.12,7871985.0,0.0027287611424413605
25434,1,2018-09-12,54.97,7289968.0,-0.002721335268505043
25434,1,2018-09-13,54.89,8423806.0,-0.0014553392759686368
25434,1,2018-09-14,54.75,6417092.0,-0.0025505556567680943
25434,1,2018-09-17,54.57,9126038.0,-0.0032876712328766544
25434,1,2018-09-18,55.07,7541316.0,0.009162543522081679
25434,1,2018-09-19,55.43,7384867.0,0.006537134556019675
25434,1,2018-09-20,56.43,10542920.0,0.018040772145047734
25434,1,2018-09-21,57.45,25670350.0,0.018075491759702356
25434,1,2018-09-24,56.69,10610480.0,-0.01322889469103572
25434,1,2018-09-25,56.9,9429815.0,0.0037043570294583716
25434,1,2018-09-26,57.27,7714013.0,0.006502636203866485
25434,1,2018-09-27,57.34,6584421.0,0.0012222804260519915
25434,1,2018-09-28,56.84,8969100.0,-0.008719916288803642
25434,1,2018-10-01,55.58,12666540.0,-0.022167487684729204
25434,1,2018-10-02,55.59,12642640.0,0.00017992083483275856
25434,1,2018-10-03,55.47,7381162.0,-0.0021586616297896155
25434,1,2018-10-04,55.89,9721169.0,0.007571660356949783
25434,1,2018-10-05,55.76,9731651.0,-0.002325997495079668
25434,1,2018-10-08,56.54,9599509.0,0.013988522238163492
25434,1,2018-10-09,57.71,24847970.0,0.02069331446763356
25434,1,2018-10-10,56.01,14158690.0,-0.029457632992549
25434,1,2018-10-11,54.86,15189800.0,-0.02053204784859841
25434,1,2018-10-12,56.45,13886480.0,0.02898286547575646
25434,1,2018-10-15,56.75,10109780.0,0.005314437555358653
25434,1,2018-10-16,57.81,11729840.0,0.018678414096916285
25434,1,2018-10-17,59.1,14629470.0,0.02231447846393353
25434,1,2018-10-18,58.64,12184600.0,-0.007783417935702253
25434,1,2018-10-19,58.66,10091750.0,0.0003410641200545239
25434,1,2018-10-22,58.9,8597308.0,0.004091374019774996
25434,1,2018-10-23,58.81,12830870.0,-0.0015280135823428909
25434,1,2018-10-24,58.06,11864560.0,-0.01275293317463011
25434,1,2018-10-25,58.96,9551147.0,0.01550120564932822
25434,1,2018-10-26,58.07,13363780.0,-0.01509497964721851
25434,1,2018-10-29,58.37,14338370.0,0.0051661787497847556
25434,1,2018-10-30,58.59,14228620.0,0.003769059448346823
25434,1,2018-10-31,58.27,11558540.0,-0.005461682881037766
25434,1,2018-11-01,58.63,18523500.0,0.006178136262227518
25434,1,2018-11-02,64.32,45466560.0,0.09704929217124314
25434,1,2018-11-05,64.48,23240880.0,0.0024875621890549926
25434,1,2018-11-06,66.01,15813020.0,0.023728287841191076
25434,1,2018-11-07,68.16,16463590.0,0.032570822602635774
25434,1,2018-11-08,68.72,14079700.0,0.008215962441314506
25434,1,2018-11-09,68.6,8627885.0,-0.0017462165308499422
25434,1,2018-11-12,67.91,12749330.0,-0.010058309037900837
25434,1,2018-11-13,67.41,16629730.0,-0.007362685907819189
25434,1,2018-11-14,67.04,13317370.0,-0.005488799881323114
25434,1,2018-11-15,67.62,15234650.0,0.008651551312649053
25434,1,2018-11-16,68.16,9276178.0,0.007985803016858695
25434,1,2018-11-19,67.91,10829380.0,-0.0036678403755868727
25434,1,2018-11-20,67.18,11207710.0,-0.010749521425415853
25434,1,2018-11-21,66.77,10977950.0,-0.00610300684727616
25434,1,2018-11-23,65.7,7779765.0,-0.01602516100044915
25434,1,2018-11-26,65.69,13054190.0,-0.00015220700152218658
25434,1,2018-11-27,66.08,13149980.0,0.005936976708783792
25434,1,2018-11-28,66.82,12858780.0,0.01119854721549629
25434,1,2018-11-29,66.88,9575694.0,0.0008979347500748247
25434,1,2018-11-30,66.72,27024850.0,-0.0023923444976076125
25434,1,2018-12-03,67.5,13758450.0,0.011690647482014427
25434,1,2018-12-04,66.65,13164400.0,-0.012592592592592489
25434,1,2018-12-06,66.55,17080780.0,-0.0015003750937735427
25434,1,2018-12-07,65.47,11050510.0,-0.016228399699474094
25434,1,2018-12-10,65.49,12102430.0,0.0003054834275240115
25434,1,2018-12-11,65.92,10902980.0,0.006565887921820224
25434,1,2018-12-12,66.13,11082400.0,0.003185679611650283
25434,1,2018-12-13,66.91,9977871.0,0.011794949342204708
25434,1,2018-12-14,65.34,16828880.0,-0.023464355103870793
25434,1,2018-12-17,64.47,15021780.0,-0.013314967860422522
25434,1,2018-12-18,64.92,10453850.0,0.006979990693345872
25434,1,2018-12-19,64.06,14202190.0,-0.013247073321010494
25434,1,2018-12-20,62.15,20257170.0,-0.029815797689666024
25434,1,2018-12-21,61.39,23524320.0,-0.012228479485116628
25434,1,2018-12-24,60.56,6323252.0,-0.01352011728294511
25434,1,2018-12-26,63.08,16457050.0,0.04161162483487435
25434,1,2018-12-27,63.2,11303400.0,0.0019023462270133518
25434,1,2018-12-28,63.39,7711871.0,0.0030063291139239556
25434,1,2018-12-31,64.4,7689617.0,0.015933112478308864
25434,1,2019-01-02,64.32,10022120.0,-0.001242236024844967
25434,1,2019-01-03,61.53,14376930.0,-0.04337686567164167
25434,1,2019-01-04,63.57,12692430.0,0.03315455875182827
25434,1,2019-01-07,63.57,10162040.0,0.0
25434,1,2019-01-08,63.62,10789540.0,0.0007865345288657899
25434,1,2019-01-09,63.88,13079660.0,0.004086765168186179
25434,1,2019-01-10,64.19,10395910.0,0.004852849092047418
25434,1,2019-01-11,63.73,13798320.0,-0.0071662252687334504
25434,1,2019-01-14,63.37,9928137.0,-0.00564883100580571
25434,1,2019-01-15,64.08,7912667.0,0.011204039766451013
25434,1,2019-01-16,63.77,8072806.0,-0.00483770287141061
25434,1,2019-01-17,64.28,6682389.0,0.007997490983221
25434,1,2019-01-18,64.7,9637932.0,0.0065339141257001465
25434,1,2019-01-22,65.39,16400720.0,0.010664605873261124
25434,1,2019-01-23,66.43,12304110.0,0.01590457256461253
25434,1,2019-01-24,64.74,29579510.0,-0.025440313111546153
25434,1,2019-01-25,67.09,21880510.0,0.03629904232313885
25434,1,2019-01-28,66.9,11504700.0,-0.0028320166939931335
25434,1,2019-01-29,67.04,10696490.0,0.0020926756352765974
25434,1,2019-01-30,68.15,11670240.0,0.016557279236276923
25434,1,2019-01-31,68.14,24060540.0,-0.0001467351430668451
25434,1,2019-02-01,68.11,10306100.0,-0.00044027003228652717
25434,1,2019-02-04,67.58,13547000.0,-0.0077815298781382936
25434,1,2019-02-05,69.34,12780460.0,0.026043208049718825
25434,1,2019-02-06,68.85,9858533.0,-0.007066628208826198
25434,1,2019-02-07,69.14,10107900.0,0.004212055192447384
25434,1,2019-02-08,69.75,8861797.0,0.008822678623083613
25434,1,2019-02-11,69.99,9228304.0,0.0034408602150537426
25434,1,2019-02-12,69.75,8846598.0,-0.0034290612944705146
25434,1,2019-02-13,70.51,10208920.0,0.010896057347670407
25434,1,2019-02-14,70.84,9438372.0,0.004680187207488196
25434,1,2019-02-15,70.71,13883140.0,-0.0018351214003389238
25434,1,2019-02-19,70.2,9204672.0,-0.007212558336868735
25434,1,2019-02-20,70.39,9626399.0,0.002706552706552623
25434,1,2019-02-21,70.7,10861370.0,0.004404034664014844
25434,1,2019-02-22,71.3,11311420.0,0.008486562942008335
25434,1,2019-02-25,71.05,8223885.0,-0.003506311360448766
25434,1,2019-02-26,71.14,11982960.0,0.001266713581984602
25434,1,2019-02-27,70.15,13273430.0,-0.013916221535001383
25434,1,2019-02-28,70.26,18098330.0,0.0015680684248040588
25434,1,2019-03-01,70.85,8059464.0,0.008397381155707206
25434,1,2019-03-04,70.95,9217796.0,0.0014114326040932657
25434,1,2019-03-05,71.58,10492690.0,0.008879492600422756
25434,1,2019-03-06,71.27,7620320.0,-0.004330818664431413
25434,1,2019-03-07,70.61,7361342.0,-0.009260558439736166
25434,1,2019-03-08,69.36,12224440.0,-0.017702874946891378
25434,1,2019-03-11,69.68,11405540.0,0.0046136101499423265
25434,1,2019-03-12,70.05,12750950.0,0.005309988518943598
25434,1,2019-03-13,70.1,13731730.0,0.0007137758743753775
25434,1,2019-03-14,70.74,8906414.0,0.00912981455064199
25434,1,2019-03-15,70.67,13094560.0,-0.0009895391574780144
25434,1,2019-03-18,70.84,5643909.0,0.0024055469081647463
25434,1,2019-03-19,71.38,6883371.0,0.007622811970637855
25434,1,2019-03-20,71.63,9507089.0,0.003502381619501227
25434,1,2019-03-21,72.26,7980758.0,0.008795197542929012
25434,1,2019-03-22,71.96,6888173.0,-0.004151674508718672
25434,1,2019-03-25,72.3,6153365.0,0.004724847137298482
25434,1,2019-03-26,72.96,7618942.0,0.009128630705394158
25434,1,2019-03-27,72.74,7654798.0,-0.003015350877192957
25434,1,2019-03-28,73.96,6594556.0,0.016772064888644467
25434,1,2019-03-29,74.34,8972463.0,0.005137912385073218
25434,1,2019-04-01,73.96,7976126.0,-0.005111649179445954
25434,1,2019-04-02,74.27,5514229.0,0.004191454840454245
25434,1,2019-04-03,74.33,6687644.0,0.0008078632018311271
25434,1,2019-04-04,74.35,5449810.0,0.00026907036189949274
25434,1,2019-04-05,75.03,5346074.0,0.009145931405514451
25434,1,2019-04-08,75.2,5140364.0,0.002265760362521574
25434,1,2019-04-09,75.12,4904315.0,-0.0010638297872340718
25434,1,2019-04-10,75.48,5889004.0,0.004792332268370503
25434,1,2019-04-11,75.87,6042545.0,0.0051669316375198004
25434,1,2019-04-12,76.65,5193888.0,0.010280743376828827
25434,1,2019-04-15,76.16,7632141.0,-0.006392694063927062
25434,1,2019-04-16,75.7,8336593.0,-0.006039915966386422
25434,1,2019-04-17,75.12,8500302.0,-0.0076618229854689135
25434,1,2019-04-18,76.06,6606672.0,0.012513312034078794
25434,1,2019-04-22,75.4,4882354.0,-0.008677359978963906
25434,1,2019-04-23,75.99,5273777.0,0.007824933687002433
25434,1,2019-04-24,76.39,8247468.0,0.005263850506645795
25434,1,2019-04-25,77.11,11016420.0,0.009425317449927917
25434,1,2019-04-26,77.45,12549410.0,0.004409285436389521
25434,1,2019-04-29,76.91,5398125.0,-0.0069722401549388024
25434,1,2019-04-30,77.68,7382071.0,0.010011701989338428
25434,1,2019-05-01,77.52,6659498.0,-0.002059732234809597
25434,1,2019-05-02,77.47,6247487.0,-0.0006449948400412131
25434,1,2019-05-03,78.05,4966657.0,0.0074867690718987134
25434,1,2019-05-06,78.06,5606724.0,0.00012812299807829497
25434,1,2019-05-07,77.96,8077790.0,-0.001281065846784668
25434,1,2019-05-08,78.05,7798063.0,0.001154438173422312
25434,1,2019-05-09,77.9,7326355.0,-0.001921844971172204
25434,1,2019-05-10,78.42,6447565.0,0.006675224646983224
25434,1,2019-05-13,76.68,9777504.0,-0.022188217291507217
25434,1,2019-05-14,77.06,6870647.0,0.0049556598852373845
25434,1,2019-05-15,77.76,5413332.0,0.009083830781209556
25434,1,2019-05-16,78.9,6938025.0,0.014660493827160392
25434,1,2019-05-17,78.91,7379730.0,0.00012674271229395906
25434,1,2019-05-20,76.66,11474180.0,-0.028513496388290482
25434,1,2019-05-21,77.53,5808063.0,0.011348812940255693
25434,1,2019-05-22,77.25,5602258.0,-0.0036115052237843948
25434,1,2019-05-23,76.41,9213080.0,-0.010873786407767039
25434,1,2019-05-24,76.15,5627442.0,-0.0034026959822011094
25434,1,2019-05-28,75.7,16168880.0,-0.005909389363099149
25434,1,2019-05-29,75.28,10511570.0,-0.005548216644649995
25434,1,2019-05-30,76.17,7177115.0,0.01182252922422955
25434,1,2019-05-31,76.06,7621259.0,-0.0014441381121176322
25434,1,2019-06-03,76.22,8119322.0,0.0021036024191427583
25434,1,2019-06-04,78.52,11684270.0,0.030175806874835898
25434,1,2019-06-05,79.96,7436024.0,0.018339276617422184
25434,1,2019-06-06,81.4,10445260.0,0.01800900450225118
25434,1,2019-06-07,82.48,11264640.0,0.013267813267813233
25434,1,2019-06-10,81.93,8101833.0,-0.006668283220174542
25434,1,2019-06-11,82.37,6226359.0,0.0053704381789332345
25434,1,2019-06-12,82.93,6081417.0,0.006798591720286629
25434,1,2019-06-13,83.35,7139624.0,0.005064512239237651
25434,1,2019-06-14,84.24,9214748.0,0.010677864427114603
25434,1,2019-06-17,83.02,9313522.0,-0.014482431149097752
25434,1,2019-06-18,82.92,10581100.0,-0.0012045290291495814
25434,1,2019-06-19,83.81,5357221.0,0.010733236854799877
25434,1,2019-06-20,84.69,5162485.0,0.010499940341248015
25434,1,2019-06-21,83.82,12575460.0,-0.010272759475735138
25434,1,2019-06-24,83.65,6692489.0,-0.00202815557146252
25434,1,2019-06-25,84.25,7310824.0,0.007172743574417106
25434,1,2019-06-26,83.38,7473844.0,-0.010326409495548972
25434,1,2019-06-27,83.56,6079141.0,0.002158791076996902
25434,1,2019-06-28,83.83,6735130.0,0.0032312111057921644
25434,1,2019-07-01,84.55,7931784.0,0.008588810688297643
25434,1,2019-07-02,85.51,6204798.0,0.011354228267297595
25434,1,2019-07-03,87.79,7818552.0,0.026663548123026626
25434,1,2019-07-05,87.79,5732991.0,0.0
25434,1,2019-07-08,87.44,6248347.0,-0.003986786649960217
25434,1,2019-07-09,87.23,5350644.0,-0.0024016468435498206
25434,1,2019-07-10,88.38,5270845.0,0.013183537773701515
25434,1,2019-07-11,89.07,6190767.0,0.007807196198234889
25434,1,2019-07-12,89.77,5627404.0,0.007858987313348997
25434,1,2019-07-15,90.16,6059527.0,0.004344435780327505
25434,1,2019-07-16,90.08,5450218.0,-0.0008873114463175957
25434,1,2019-07-17,90.25,4624461.0,0.001887211367673114
25434,1,2019-07-18,91.5,6439682.0,0.013850415512465464
25434,1,2019-07-19,90.3,10804600.0,-0.013114754098360715
25434,1,2019-07-22,90.92,5605449.0,0.006866002214839462
25434,1,2019-07-23,90.11,7607356.0,-0.008908930928288594
25434,1,2019-07-24,90.65,5378010.0,0.005992675618688326
25434,1,2019-07-25,90.98,7950462.0,0.003640375068946433
25434,1,2019-07-26,99.11,20837650.0,0.08936029896680586
25434,1,2019-07-29,98.02,11180100.0,-0.010997881142165267
25434,1,2019-07-30,96.65,7242420.0,-0.013976739440930364
25434,1,2019-07-31,94.69,9879929.0,-0.020279358510087997
25434,1,2019-08-01,95.38,8341662.0,0.007286936318513071
25434,1,2019-08-02,95.51,6237039.0,0.0013629691759280416
25434,1,2019-08-05,93.7,8854647.0,-0.01895089519422055
25434,1,2019-08-06,95.34,7410282.0,0.017502668089647733
25434,1,2019-08-07,95.22,6357404.0,-0.0012586532410321372
25434,1,2019-08-08,96.27,7200444.0,0.011027095148078203
25434,1,2019-08-09,96.3,5208302.0,0.00031162355874103653
25434,1,2019-08-12,94.91,5502038.0,-0.014434060228452728
25434,1,2019-08-13,96.63,8935159.0,0.018122431777473302
25434,1,2019-08-14,94.92,9947549.0,-0.017696367587705653
25434,1,2019-08-15,95.53,5566095.0,0.006426464391066089
25434,1,2019-08-16,96.52,4867844.0,0.010363236679576948
25434,1,2019-08-19,96.66,5319618.0,0.0014504765851637291
25434,1,2019-08-20,95.63,6808584.0,-0.01065590730395205
25434,1,2019-08-21,96.32,4740023.0,0.007215309003450798
25434,1,2019-08-22,96.49,5144635.0,0.0017649501661129996
25434,1,2019-08-23,94.7,8053467.0,-0.018551145196393337
25434,1,2019-08-26,96.5,5800038.0,0.019007391763463444
25434,1,2019-08-27,96.09,6539398.0,-0.004248704663212366
25434,1,2019-08-28,97.07,4917389.0,0.010198771984597732
25434,1,2019-08-29,97.7,4513531.0,0.00649016173895145
25434,1,2019-08-30,96.56,5198231.0,-0.011668372569089036
25434,1,2019-09-03,96.77,5149807.0,0.0021748135874066765
25434,1,2019-09-04,96.11,12936240.0,-0.006820295546140276
25434,1,2019-09-05,95.56,5514216.0,-0.005722609509936527
25434,1,2019-09-06,95.74,3990565.0,0.0018836333193803512
25434,1,2019-09-09,94.16,6489135.0,-0.016503029036975092
25434,1,2019-09-10,90.35,12481920.0,-0.040463041631265906
25434,1,2019-09-11,90.98,8391173.0,0.006972883231876059
25434,1,2019-09-12,92.06,6861017.0,0.011870740822158776
25434,1,2019-09-13,90.48,6970700.0,-0.017162719965239992
25434,1,2019-09-16,89.42,6334943.0,-0.011715296198054892
25434,1,2019-09-17,90.75,6511319.0,0.01487363006038911
25434,1,2019-09-18,90.96,4556855.0,0.002314049586776834
25434,1,2019-09-19,91.56,4873013.0,0.006596306068601621
25434,1,2019-09-20,90.07,11230200.0,-0.016273481869812256
25434,1,2019-09-23,90.81,4815548.0,0.008215832130565204
25434,1,2019-09-24,89.92,5686794.0,-0.009800682744191214
25434,1,2019-09-25,90.35,5265481.0,0.004782028469750843
25434,1,2019-09-26,89.8,5531186.0,-0.006087437742113955
25434,1,2019-09-27,88.37,5987191.0,-0.01592427616926495
25434,1,2019-09-30,88.42,6649357.0,0.0005658028742785426
25434,1,2019-10-01,86.51,6802301.0,-0.021601447636281357
25434,1,2019-10-02,84.32,10034470.0,-0.025314992486417887
